,content
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_12.csv_8,一鰯　　　　　　　　　　一油元結
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_12.csv_9,一葬送道具　　　　　　　一きせる
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_12.csv_10,一丸薬散薬類其余菜【ヵ、薬】種類御停止
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_13.csv_1,高直之義ハ諸国一枚【牧ヵ】之義ニ而自然事ニ候故如何様
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_13.csv_2,一枚【牧ヵ】難渋之儀も稀成事ニ候故格別之御慈悲之
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_15.csv_1,巳十一月十九日
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_15.csv_2,一此度之御趣意與頭庄屋ヲ始村役人共能奉承知
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_15.csv_3,恐入候　一米指紙共一應之懸りニ而ハ百四五拾目ニ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_15.csv_4,一不都ニ付役人共取替多村柄者其高ニ應シ歩通りニ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_15.csv_5,割當候事一歩通とハ乍申格別之御趣意重々
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_16.csv_1,一右様無之而ハ百姓第一之役義忘却ニ相成可
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_16.csv_2,申事一御物入多御場合殊ニ往古より無之
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_16.csv_3,一後年も有へき事ニ而者無之義申聞候事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_16.csv_4,一米四千石
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_17.csv_1,一三拾石　　一宮　　六十石　　蔵本　　六十石　　庄
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_17.csv_2,一百三十三石高崎　　百拾九石　北新居　廿五石　　西黒田
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_17.csv_3,一五十壱石　敷地　　七十三石　佐野塚　八十七石　矢三
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_17.csv_4,一拾石五斗　北岩延　八石五斗　東高輪　七十六石　芝原
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_17.csv_5,一廿三石　　大岡　　拾六石　　花園　　百九十四石佐古
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_17.csv_6,一五十石　　東名東　五十石　　日開　　五拾石　　矢野
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_17.csv_7,一四拾弐石　井戸　　百三十六石上助任　七十五石　住吉嶋
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_18.csv_1,一五十石　　嶋田　　六十石　南新居　　百廿七石　東黒田
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_18.csv_2,一三十五石　早渕　　百廿石　下助任　　廿石　　　沖須
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_18.csv_3,一三十八石　田宮　　廿四石　今切　　　弐十石　　西名東
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_18.csv_4,一十八石　　南岩延　廿七石　祖母嶋　　弐十石　　符中
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_18.csv_5,一拾三石　　桜間　　拾八石　川原田　　六十弐石　津田
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_18.csv_6,一三石　　　西高輪　拾五石　池尻
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_18.csv_7,一御年貢之内雑穀継米幷庄屋御取立給御
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_18.csv_8,候而ハ内間相混一様成不申義ニ御坐候
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_18.csv_9,一弐歩通御指延者惣体へ申渡候得共相應身代
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_19.csv_1,一前内間融通者其手組頭庄屋心得ヲ以内間
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_19.csv_2,乞願出来渋殺【昆雑ヵ】可仕ニ付一体弐歩延と相立置
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_19.csv_3,十一月十九日
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_19.csv_4,一此度御慈悲被仰付ニ付而ハ預地年貢之義
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_19.csv_5,ゟ上郡分一体根痛有之ニ寄人氣悪布加地子
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_19.csv_6,無御坐候而ハ小百姓帰服ニ至りかたく一様成不申候
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_20.csv_1,併郡切別趣意難申上一決不仕ニ付御高慮奉
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_20.csv_2,十一月十九日
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_20.csv_3,一市郷共飯料ニ米相用候者は一日三度之内来
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_20.csv_4,五月迄一度者粥ニ仕候様申付候事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_20.csv_5,一右同断麦相用候者は粥ニ難相成候ニ付一日
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_20.csv_6,三度之内来五月迄一度者雑炊ニ仕候様
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_20.csv_7,一於郷分ニ米麦之外雑穀芋類等飯料ニ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_20.csv_8,一郷分造酒之儀三歩一減石仕候様相觸有之所
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_21.csv_1,等ニ而米麦不融通ニ付来夏秋萬々一郷分
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_21.csv_2,仰出候御書付之御意味萬々一當夏秋不作
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_21.csv_3,仕飯料給延候様ニとの御趣意ニ而一日壱人ニ壱合宛
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_22.csv_1,之場ニ及一日壱人三合之食料ニ引合年中三歩一
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_22.csv_2,一右被
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_22.csv_3,仰出ニ付尚以作方第一ニ相励可申又祈祷繰り成者
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_22.csv_4,一体此度之被仰出ニ付喧布相成不申様相心得可申事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_22.csv_5,一家普請等之義分限ニ過候者常ニ可相慎事ニ候得共
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_22.csv_6,一右倹約之義奉公日雇等仕候者共ゑ勝手ニ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_23.csv_1,但処ニより一日五度も食事仕候趣春分者
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_23.csv_2,農事寛ヤカニ候得者一食位ハ相減し可然
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_23.csv_3,一非人乞食等可憐者へ給物差遣シ不申候而ハ不仁之
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_23.csv_4,一右之通食物倹約仕候中ニ全過酒成ハ農業不
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_23.csv_5,一吉凶之客振舞随而倹約質素ニ仕可申事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_24.csv_1,正月十一日
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_24.csv_2,御渡被遊帰村之上早々一牧之者へ懇に申渡候様被仰付
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_24.csv_3,之様子其余諸国津留之風聞等追々承傳一体
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_25.csv_1,一御趣意丸写
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_25.csv_2,聞召上御国之義者相應之世柄ニ候得とも万々一當夏
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_25.csv_3,秋違作等有之候而も御下一体難難渋不仕様との御意味
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_25.csv_4,義専一ニ相心得候様御郡代様御口達被遊候御趣夫々
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_26.csv_1,天保五午年三月十一日写
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_26.csv_2,取扱度事ニ候勿論孰も一己之義ハ無油断相心懸
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_27.csv_1,不顧世上之趣ニも不拘只ニ飢食せしめすとてハ一時之
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_27.csv_2,居申趣ニ候　　　午正月十一日写
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_27.csv_3,ニ付當夏秋万々一郷分不作等有之候而ハ町人百姓共
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_28.csv_1,申間敷仍而者市郷共當五月迄一日一度ハ粥雑
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_28.csv_2,一牧御趣意相守倹約仕候ニ付餘程飯物給延候様
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_29.csv_1,但處ニより一日五度も食事仕候趣春
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_29.csv_2,分ハ農事ゆるやかニ候へハ一食位ハ相減
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_29.csv_3,々一主人之法こまやか成るを悋懎と
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_29.csv_4,れす互ニ宜精通し合候ゟ一日之間ニ飲食
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_30.csv_1,小百姓ニ至迄逸々懇ニ申聞候所一統御趣意
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_30.csv_2,御仁恵之御趣意組村々へ申諭一統難有奉畏
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_34.csv_1,天保十三寅年十一月
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_34.csv_2,一組頭庄屋共同心衆壱列ニ罷越見分仕罷在候様
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_35.csv_1,一組頭庄屋幷郷目付共着用半天股引ニ而出張仕
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_35.csv_2,一諸道具砕方屋祢葺草取除方等之義ハ同心衆
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_35.csv_3,一非人共家族無数右取計方手【同？】間取候義も難計
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_35.csv_4,一組頭庄屋始郷目付共義他村へ押移罷越候時ハ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_35.csv_5,一出張御役人御賄之義如何相心得可申哉
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_35.csv_6,天保十三寅年十一月　　　　冨田　津田　佐古
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_36.csv_1,一番非人小家さか葺ニ出来次第村役人ゟ書付を以御役處様へ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_36.csv_2,一居家敷地借地又ハ外名面ヲ以相調候哉空地等ニ而も
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_36.csv_3,一別家隠居家相調不申候事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_36.csv_4,一牛馬所持仕候得ハ早々賣拂可申事此数
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_36.csv_5,一村方へ出張之節作場道具類取調同心方へ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_37.csv_1,○【朱】十一　御趣意書
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_37.csv_2,一様ならさる義者其筈之事ニ候得共向ニ寄候而者
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_40.csv_1,一通町筋ゟ新町橋筋西新町壱丁目筋ゟ佐古町
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_40.csv_2,十一丁目上鮎喰迄南者大工町筋ゟ弐軒屋町迄
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_40.csv_3,懸往来人之妨ニ不相成様引付置可申候万一右ニ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_41.csv_1,頃日已来之長雨天ニ付河筋出水之模様為【一文字消去】見分御馬役
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_41.csv_2,之者無之様屹と取究可申候萬一此後右觸面之旨趣
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_41.csv_3,修行仕度旨一件申継写
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_42.csv_1,誓慎旅宿へ罷出一昨日ゟ重々彼是懸合ニ及是
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_42.csv_2,迄之通一ケ度分受取帰京可仕様相行着申義ニ候得共
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_43.csv_1,御家督右御慶事ニ付而も一廉之御入目相止嵩候上
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_43.csv_2,一昨年
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_44.csv_1,召上且世上不融通旁一牧ニ難渋之趣ニ相聞候已ニ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_45.csv_1,ニ而ハ一統迷惑厚事ニ候得ハたとひ御都合者調兼
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_45.csv_2,被仰付候猶又御年限中歩一高格懸不時拝借
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_47.csv_1,一町数何反何町
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_48.csv_1,諸職人作料日雇賃銀奉公人給銀且一牧質素
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_48.csv_2,十一月十三日
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_48.csv_3,諸職人作料日雇賃銀奉公人給銀且一牧質
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_49.csv_1,午十一月十三日
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_49.csv_2,一諸職人作料之事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_50.csv_1,任一人前之働相調候者ハ右之處ニ相定雇被雇候様
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_50.csv_2,義故本文之通相定候事ニ候萬一右之處不
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_50.csv_3,一日雇奉公人之事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_52.csv_1,一村浦煑賣店之事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_53.csv_1,一質素之事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_53.csv_2,右ハ近来一牧花美ニ長相應相暮候者ハ衣服飲
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_53.csv_3,懸りニ候故一牧末々之者共迄も身分相應ニ右
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_54.csv_1,相成候第一之筋ニ候事故右之處厚相心得
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_54.csv_2,一牧ニ相心得相守候様申付候事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_55.csv_1,弘化三午年七月八日一呼懸ニ而被仰付候
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_55.csv_2,第一人々火之用心厚心ヲ付候様申渡有之處
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_55.csv_3,一統ニ難有相心得無手抜打廻り等可仕候ニ付
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_56.csv_1,勿論制道筋ニ而悪敷申ニハ無之候へ共自然一牧
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_56.csv_2,仍而ハ人々手元之火之用心を第一ニ取究相廻
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_56.csv_3,仕度事ニ候条右等厚相心得一牧心得違無
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_56.csv_4,相備り既一昨年迄七ケ年上納相運米穀金銀
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_58.csv_1,之義右様相弛ミ候而者身分之為ニも第一
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_59.csv_1,在候間一統難有相心得可申且支配有之面々ハ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_59.csv_2,○【朱】二十一　菊作之義ニ付御趣意非仰付御書付写
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_61.csv_1,一昨未年被　仰付有之通村々鳥番之者共
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_61.csv_2,一番小家幷目立敷威等者決而不仕様申
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_61.csv_3,一節分後気候之遅速ニ随ひ冬内たりとも
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_62.csv_1,一鶴鴈追立御免被　仰付候共縄鉄砲之義ハ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_62.csv_2,一御趣意書丸写し
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_63.csv_1,被仰付ニ付郡中一列解懸左書之運被仰付書
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_64.csv_1,不申作人共数月之労一時ニ空敷相成候而ハ別而心配
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_68.csv_1,万一異国舩又者格別御指懸極急手當等
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_68.csv_2,疼強米麦を始穀物高價ニ而一牧不融通之所ゟ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_69.csv_1,嘉永二酉年十一月十七日　松江島三郎へ相渡成ル写
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_70.csv_1,不弁者も難斗万々一右様之儀有之ニおゐてハ御
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_72.csv_1,嘉永三年　　戌十一月
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_72.csv_2,一極々困窮之者之内
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_72.csv_3,一極困窮之者之内
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_72.csv_4,一困窮之者之内
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_73.csv_1,一納屋而已潰候者ハ都而御手當不指遣候事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_73.csv_2,一穢多共義ハ家族之多少ニ不拘壱軒ニ付
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_73.csv_3,一金毘羅之儀観音會日同断毎月前
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_73.csv_4,一右勢見山下弐軒屋町筋観潮院構庵
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_74.csv_1,一諸寺社寄進繰■■■■講釋等之類
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_75.csv_1,候得ハ御山下諸廿一ケ村浦より御郡代處へ願出候
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_75.csv_2,一市中相撲力共毎月處々ニ而一日之稽古
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_75.csv_3,一大角力中角力幷御祝儀操等之儀も
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_76.csv_1,十一月廿六日
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_76.csv_2,三十一　勧農御郡代様ゟ御直御述舌　　【付箋】「年月日マテ」
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_76.csv_3,一近年勧農銀御入目廣大之御義ニ而下々へ自力
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_77.csv_1,模様一度ニ御渡成候様被仰付面々ニおゐても誠ニ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_79.csv_1,致し若一図ニ其説をのみ信し候様成心得違
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_79.csv_2,有之候ハヽ右書名相認一応老中江届置翻譯
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_79.csv_3,出来之上ハ一部天文方役處へ可指出候以上
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_79.csv_4,嘉永三戌十一月
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_80.csv_1,一もの迄
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_82.csv_1,師を以取葬候義者一應御役処不窺出
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_82.csv_2,一木札ヲ建候往来手形ニ基可申筈事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_82.csv_3,一寺院導師申付候へハ其院導師
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_83.csv_1,一男壱人　　　　　　　　何国何郡何村
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_83.csv_2,一村上延太儀御郡代御指加之儘以
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_83.csv_3,一穂積恰儀
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_83.csv_4,一高木真之助儀御役替此後
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_84.csv_1,一赤川三郎右衛門義手崎阿波郡御振替
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_84.csv_2,一谷邦之進儀手崎名東郡御振替
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_86.csv_1,一諸書入又者諸御用ニ付在々庄屋五人與
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_86.csv_2,居申ニ付先年極之通相心得候様一昨
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_86.csv_3,一先達而承り候與頭庄屋御用処成者
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_86.csv_4,嘉永四亥年五月十一日松江島三郎佐藤粂三郎
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_87.csv_1,一亥八月十四日御郡代様御直松江島三郎
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_88.csv_1,一立縞　　　　　　　岸しま
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_89.csv_1,但紺白一に留かへ裏花色ちニふかたぬき
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_89.csv_2,一しまちりめん　　　　　　　女綿入
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_89.csv_3,一とふうら紅梅ちニふときもの一枚女着
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_89.csv_4,一帯ちりめん切尺六寸
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_89.csv_5,一銀かんさし　　　壱本
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_89.csv_6,一同かんさし　　　壱本
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_90.csv_1,四十一
