,content
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_15.csv_4,運凌安可有之間然上此度之御慈悲可被仰付
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_15.csv_5,割當候事一歩通とハ乍申格別之御趣意重々
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_16.csv_1,申事一御物入多御場合殊ニ往古より無之
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_16.csv_2,御慈悲之御趣意米穀高直とハ乍申実ニ
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_16.csv_3,右様之運御文書に御書加へ被仰付度奉存事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_18.csv_1,一御年貢之内雑穀継米幷庄屋御取立給御
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_18.csv_2,當置米引残ニ弐歩通来四月迄御指延員数
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_18.csv_3,但御用金御差紙之義ハ自分御年貢之
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_18.csv_4,外賣拂候ニ付新御蔵入調指紙同断ニ被仰付
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_18.csv_5,候而ハ内間相混一様成不申義ニ御坐候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_18.csv_6,一弐歩通御指延者惣体へ申渡候得共相應身代
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_18.csv_7,有御坐候惣辻弐歩通相納候得ハ宜敷旨と奉存候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_19.csv_1,一此度御慈悲被仰付ニ付而ハ預地年貢之義
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_19.csv_2,抔ハ可指出気合ニ無御坐候ゆへ右御趣意有之候而ハ
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_19.csv_3,下作加地子迄も精々指出可申心得ニ付右御趣意
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_19.csv_4,無御坐候而ハ小百姓帰服ニ至りかたく一様成不申候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_20.csv_1,併郡切別趣意難申上一決不仕ニ付御高慮奉
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_20.csv_2,御年寄西尾数馬仁尾内膳本〆
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_21.csv_1,理之旨江戸表ゟ粗御沙汰も有之下々
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_21.csv_2,ヲ御労被遊候厚
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_21.csv_3,御仁恵之御趣意誠無冥加事ニ候間此段
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_21.csv_4,○【朱】四　御郡代御口達之御趣意
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_21.csv_5,仰出候御書付之御意味萬々一當夏秋不作
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_21.csv_6,仕飯料給延候様ニとの御趣意ニ而一日壱人ニ壱合宛
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_21.csv_7,貯出来日ヲ積候得者不少員数御国中ニ而者
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_22.csv_1,聞召上御下之者共飢難相免シ
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_22.csv_2,御仁恵之被仰出誠ニ冥加無此上難有相心得
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_22.csv_3,相撲等有来候賑ひ屹と可指止との御趣ニ者
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_24.csv_1,重々解諭シ御趣意難有相守候様取計可申事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_24.csv_2,仰出候御趣意今日御呼懸之上私共へ被仰渡御書付
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_24.csv_3,御渡被遊帰村之上早々一牧之者へ懇に申渡候様被仰付
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_24.csv_4,御仁恵之被
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_24.csv_5,御趣意を相応シ精々飯料倹約仕可申と奉存候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_24.csv_6,私共ニおゐても難有仕合奉存候仍而連判を以御
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_25.csv_1,御郡代様御手代　　　　　河原伊佐吉
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_25.csv_2,○【朱】　　　仕上御請書之覚
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_25.csv_3,一御趣意丸写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_25.csv_4,仰出候ニ付御手元御役所へ被召出被仰渡候者奥州出羽凶
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_25.csv_5,聞召上御国之義者相應之世柄ニ候得とも万々一當夏
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_25.csv_6,秋違作等有之候而も御下一体難難渋不仕様との御意味
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_25.csv_7,義専一ニ相心得候様御郡代様御口達被遊候御趣夫々
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_25.csv_8,被入御念被仰渡村中不相洩様重々教諭可仕旨被仰聞
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_25.csv_9,御仁恵無此上難有仕合私共手元へ逸々召呼申
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_25.csv_10,諭候所壱統感服仕奉畏候ニ付御請書取懸申候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_26.csv_1,猶無油断時々心ヲ付弥以御趣意通堅相守セ可申候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_26.csv_2,仍而私共連判御請書指出申所相違無御坐候以上
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_26.csv_3,○【朱】五　　於江戸旧臘在符【ママ】御家中へ被仰出御候趣
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_26.csv_4,當年関東筋不作ニ付而ハ御家中之面々倹約
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_26.csv_5,羽筋之様子追々相聞稀成ル飢饉之趣当御地之義も
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_26.csv_6,御家中之面々者頂戴物も例よりハ多乍併奥
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_26.csv_7,公邊ゟも厚其筋御取究被　仰出候趣ニも候へハ猶
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_27.csv_1,事ニ候条此段各ゟ御家中末々至迄不洩様
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_27.csv_2,可有通達旨御目付中申達候事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_27.csv_3,右者江戸表ゟ旧臘廿日去ル御次様ゟ御仕出
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_27.csv_4,正月二日着御書写之由
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_27.csv_5,羽州戸澤大和守様日々三五里宛草鞋ニ而御廻見
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_27.csv_6,被遊御直々下々江米銭被下置又者木根草根
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_27.csv_7,御取セ被遊候由御家中所務指上壱人三合御扶持ニ相成
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_28.csv_1,御仁恵之御趣意當正月被仰出夫々申渡候處
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_28.csv_2,一牧御趣意相守倹約仕候ニ付餘程飯物給延候様
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_28.csv_3,御意味先達而及口達候如く弥以可申専【ママ、聞】事ニ候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_30.csv_1,被相行道理ニ候何分ニも難有御趣意ニ不相
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_30.csv_2,右御趣意丸写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_30.csv_3,右者當五月迄倹約仕候様先達而被仰出御坐候所
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_30.csv_4,御仁恵之御趣意御郡代様御口達之御趣等被入
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_30.csv_5,御念給物倹約仕候様被仰聞奉畏私共村々
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_30.csv_6,小百姓ニ至迄逸々懇ニ申聞候所一統御趣意
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_30.csv_7,請書取置申候依而連判ヲ以御請書指上
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_30.csv_8,申処少も相違無御坐候以上
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_30.csv_9,御仁恵之御趣意組村々へ申諭一統難有奉畏
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_30.csv_10,旨御受書指出申候於私共も重々難有仕合奉存候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_31.csv_1,御當テ　　　　　　　　　　　何兵衛
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_31.csv_2,○【朱】七　御端書ヲ以被仰渡候写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_31.csv_3,而ハ御郡代ゟ心ヲ付致世話候様江戸表ゟ被仰出
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_31.csv_4,○【朱】八　今日本〆ゟ左之通被達候ニ付及御廻達ニ候以上
